Title,Title_URL,Image,Time,Name,Description,Summary
God of War: How to improve a 'masterpiece',https://www.bbc.com/news/entertainment-arts-63555509,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/1577/production/_127559450_gowr_review_screenshot_04.jpg,"Posted at 7:19
7:19",By Steffan Powell,Gaming reporter,The studio behind God of War: Ragnarok on its hopes for more accessible blockbuster games in future.
The shops that connect people with their home countries,https://www.bbc.com/news/business-63542786,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/7A29/production/_127537213_group1.jpg,"Posted at 5:53
5:53",By Dhruti Shah,Business reporter,Migrant communities around the world lift trade between their new and former countries.
Crypto giant Binance walks away from FTX bailout,https://www.bbc.com/news/business-63577783,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/12923/production/_127576067_gettyimages-1241501470.jpg,"Posted at 5:21
5:21",,,Binance says it will not pursue a rescue deal with its smaller rival citing reports of 'mishandled customer funds'.
Councillor posts Anders Breivik meal deal mock-up,https://www.bbc.com/news/uk-wales-63577296,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/022D/production/_127575500_andersgettyimages-516314388.jpg,"Posted at 3:10
3:10",,,"Tom Maclean says he took down the image after being told the neo-Nazi was a ""pretty ghastly figure""."
"Facebook-owner Meta to cut 11,000 staff",https://www.bbc.com/news/technology-63568585,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/37D8/production/_127569241_metafb-index-getty.jpg,"Posted at 0:27
0:27",By Chris Vallance,Technology reporter,Chief executive Mark Zuckerberg said it was one of the most difficult changes in Meta's history.
Scale of abuse of politicians on Twitter revealed,https://www.bbc.com/news/uk-63330885,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/1FF3/production/_127497180_gettyimages-1342893826.jpg,"Posted at 23:07 9 Nov
23:07 9 Nov","By Paul Lynch, Pete Sherlock & Paul Bradshaw",BBC Shared Data Unit,"MPs receive more than 130,000 offensive tweets over a six-week period."
Attacks on politicians whipped up by abuse - MP,https://www.bbc.com/news/uk-england-manchester-63572114,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/EF0C/production/_127569116_mediaitem127569112.jpg,"Posted at 22:49 9 Nov
22:49 9 Nov",,,"Charlotte Nichols, who has been physically attacked, says online abuse has spurred real-life incidents."
MPs threatened with violence on social media,https://www.bbc.com/news/uk-politics-63572472,,"Posted at 22:09 9 Nov
22:09 9 Nov",,,
MPs speak out over 'toxic' abuse on Twitter,https://www.bbc.com/news/uk-england-63565955,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/4516/production/_127568671_mediaitem127567475.jpg,"Posted at 18:16 9 Nov
18:16 9 Nov",,,Bishop Auckland's Dehenna Davison received the most offensive tweets among the North East's MPs.
Crypto market rocked by near-collapse of exchange,https://www.bbc.com/news/business-63564364,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/B23A/production/_127562654_ftx.jpg,"Posted at 17:45 9 Nov
17:45 9 Nov",,,"FTX struck a bailout deal with larger rival Binance as it faced a ""significant liquidity crunch""."
Twitter abuse ‘putting off future MPs',https://www.bbc.com/news/uk-england-nottinghamshire-63567179,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/23CE/production/_127566190_benbradley.jpg,"Posted at 17:37 9 Nov
17:37 9 Nov",,,Mansfield's Ben Bradley has the highest proportion of toxic mentions in a major survey of online abuse.
"Online abuse and death threats awful, MP says",https://www.bbc.com/news/uk-wales-63556763,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/5D33/production/_123595832_gettyimages-1188141616.jpg,"Posted at 16:43 9 Nov
16:43 9 Nov",,,"""I have to be very security conscious now and that is a worry,"" says Cardiff North MP Anna McMorrin."
Time-travel history videos become online hit,https://www.bbc.com/news/uk-england-norfolk-63561591,,"Posted at 11:36 9 Nov
11:36 9 Nov",,,
Elon Musk sells almost $4bn of Tesla shares,https://www.bbc.com/news/business-63564694,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/BE56/production/_127562784_0d6abb2f6582f855f76e16f6049d4795f9d322e2.jpg,"Posted at 7:52 9 Nov
7:52 9 Nov",By Peter Hoskins,Business reporter,It comes less than two weeks after the world's richest man completed his $44bn takeover of Twitter.
Warnings over growing 3D printed gun threat,https://www.bbc.com/news/technology-63495123,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/10B5E/production/_127564486_europolconferencephoto.jpg,"Posted at 6:37 9 Nov
6:37 9 Nov",By Chris Vallance,Technology reporter,Police say they are seizing 3D printed weapons in greater numbers in the UK.
Disney says streaming business at 'turning point',https://www.bbc.com/news/business-63563035,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/C0ED/production/_125398394_buzz1.jpg,"Posted at 4:15 9 Nov
4:15 9 Nov",By Natalie Sherman,"Business reporter, New York","The company has more than 235 million subscriptions across its three streaming platforms, including Disney+."
Dome shines light on women in tech,https://www.bbc.com/news/uk-england-devon-63558628,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/5C7B/production/_127557632_immersivedomerealideasuse.jpg,"Posted at 20:56 8 Nov
20:56 8 Nov",,,"Plymouth's ""immersive dome"" hosts event to showcase work of women in male-dominated tech industry."
"Tesla recalls 40,000 cars over power-steering fault",https://www.bbc.com/news/technology-63557384,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/15865/production/_127556188_gettyimages-1231348679.jpg,"Posted at 19:57 8 Nov
19:57 8 Nov",,,The recall affects the 2017-21 Model S and Model X vehicles.
Notorious Instagram influencer jailed for fraud,https://www.bbc.com/news/world-africa-63542573,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/D0B1/production/_127552435_hushpuppi-index-insta.jpg,"Posted at 15:31 8 Nov
15:31 8 Nov",,,The FBI says ex-social media star Hushpuppi is one of the world's most high-profile money launderers.
Teenager takes over family farm after dad's stroke,https://www.bbc.com/news/uk-wales-63542356,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/EAF1/production/_127554106_image-2.jpg,"Posted at 11:54 8 Nov
11:54 8 Nov",By Sion Pennar,BBC News,"Ffion now looks after 70 cows and 30 sheep, with thousands of people following her on social media."
'Social media a big influence for female farmers',https://www.bbc.com/news/uk-england-northamptonshire-63514074,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/B678/production/_127521764_0f7a43e0ec2c6d9ba77b99ea5610bcf850e7b4a9649_626_3081_17333081x1733.jpg,"Posted at 11:48 8 Nov
11:48 8 Nov",,,A rural college says it is seeing the number of women on its agricultural courses doubling.
iPhone maker Foxconn bets on US electric truck firm,https://www.bbc.com/news/business-63551439,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/D291/production/_127550935_lmc_endurance_1.jpg,"Posted at 10:31 8 Nov
10:31 8 Nov",By Peter Hoskins & Monica Miller,Business reporters,The Taiwanese technology giant says it will invest up to $170m in Ohio-based Lordstown Motors.
Stalking fears over facial search engine,https://www.bbc.com/news/technology-63544169,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/15F1C/production/_127548898_facerecscan.jpg,"Posted at 6:03 8 Nov
6:03 8 Nov",By Chris Vallance,Technology reporter,Privacy campaign group Big Brother Watch has asked the UK privacy watchdog to investigate PimEyes.
Why an old train could point to a clean energy future,https://www.bbc.com/news/business-62619313,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/751D/production/_126418992_greengoattrainphoto-credit-h2m.jpg,"Posted at 5:32 8 Nov
5:32 8 Nov",By Chris Baraniuk,Technology of Business reporter,Progress is being made on systems to make hydrogen more economical to store and transport.
Stolen $3bn Bitcoin mystery ends with popcorn tin,https://www.bbc.com/news/technology-63547765,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/A388/production/_127546814_d85ba64f-6e77-4877-93cb-9d3f437347a8.jpg,"Posted at 22:37 7 Nov
22:37 7 Nov",By Joe Tidy,Cyber reporter ,"James Zhong pleads guilty to the 2012 hack as police find stash of 50,000 Bitcoin."
Online abuse of female journalists a crisis - study,https://www.bbc.com/news/world-63541611,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/63AA/production/_127541552_gettyimages-1208889704.jpg,"Posted at 22:07 7 Nov
22:07 7 Nov",By Nayana Mena ,BBC News ,"More than 1,000 women were interviewed, the majority of them having suffered online violence."
Instagram debuts new age-verification tools in UK,https://www.bbc.com/news/technology-63544332,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/15D5A/production/_127543498_selfiegettyimages-934866576.jpg,"Posted at 22:03 7 Nov
22:03 7 Nov",,,Users changing their date of birth to that of an adult can upload a video of themselves to prove their age.
Nigerian TikTokers sentenced to whipping,https://www.bbc.com/news/world-63545821,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/18154/production/_127544689_1f61bfe7edb961582ce24800170a42c067128de2.jpg,"Posted at 21:25 7 Nov
21:25 7 Nov",By Ishaq Khalid,"BBC News, Abuja",The social media users are part of a growing trend of young Nigerians using the platform for comedy.
'There really is more to life than posting on Instagram',https://www.bbc.com/news/business-63482162,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/DE89/production/_127496965_gettyimages-866415620.jpg,"Posted at 20:29 7 Nov
20:29 7 Nov",By Suzanne Bearne,Business reporter,"A small but growing number of people are giving up the likes of Facebook, Twitter and Instagram."
West urged to step up Ukraine air defence support,https://www.bbc.com/news/world-63545820,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/E514/production/_127544685_ca04ae75cdf5a47be99a9b1a0e2a93d895a0a508.jpg,"Posted at 19:45 7 Nov
19:45 7 Nov",By Frank Gardner,BBC security correspondent,A new report by Rusi warns Western nations to increase their supply of air defences to Ukraine.
Ten days of Twitter chaos,https://www.bbc.com/news/technology-63539246,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/833A/production/_127549533_twitter_cracked_bird_getty.jpg,"Posted at 18:52 7 Nov
18:52 7 Nov",By James Clayton,BBC North America technology reporter,Elon Musk's first week-and-a-half at Twitter has been a rollercoaster of big changes.
Twitter to ban unlabelled parody accounts - Musk,https://www.bbc.com/news/technology-63539617,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/99E1/production/_127539393_mediaitem127539389.jpg,"Posted at 18:41 7 Nov
18:41 7 Nov",By George Wright,BBC News,The site's new owner says accounts failing to specify they are parodies will be permanently suspended.
Facebook owner Meta expected to make big job cuts,https://www.bbc.com/news/technology-63541591,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/5978/production/_127540922_gettyimages-1368412925.jpg,"Posted at 18:06 7 Nov
18:06 7 Nov",,,The company faces difficult economic conditions and is investing heavily in its metaverse push.
AI diagnosis could ease winter hospital pressures,https://www.bbc.com/news/uk-scotland-glasgow-west-63541927,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/514E/production/_127541802_gettyimages-1221189889.jpg,"Posted at 17:51 7 Nov
17:51 7 Nov",,,Researchers believe artificial intelligence could cut the diagnosis time for lung diseases to just minutes.
'Midterms are a social media election',https://www.bbc.com/news/newsbeat-63509041,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/15D95/production/_127539498_img_6669.jpg,"Posted at 11:37 7 Nov
11:37 7 Nov",By Mitch Mansfield,"Newsbeat reporter, Washington DC","Influencers, politicians and reporters are filling feeds with politics. Will it make a difference?"
How US voters get shown hate online,https://www.bbc.com/news/world-us-canada-63530374,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/4488/production/_126544571_americast_promo_976_v2-nc.png,"Posted at 6:36 7 Nov
6:36 7 Nov",,,The BBC's Marianna Spring investigates what voters are being recommended online at a turbulent time for US politics.
Twitter users jump to Mastodon - but what is it?,https://www.bbc.com/news/technology-63534240,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/8951/production/_127535153_gettyimages-1244516684.jpg,"Posted at 19:10 6 Nov
19:10 6 Nov",By Zoe Kleinman,Technology editor,The little-known social network's user base has swelled after Elon Musk's takeover of Twitter.
The Wombats: We want to record 10 albums,https://www.bbc.com/news/newsbeat-63517602,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/114EB/production/_127519807_jamiemacmillan-thewombatsbmportraits-16.jpg,"Posted at 12:28 6 Nov
12:28 6 Nov",By Bonnie McLaren,Newsbeat reporter,Frontman Murph tells Newsbeat how TikTok could have helped to bring in a legion of younger fans.
Twitter confirms users' fee to buy verification,https://www.bbc.com/news/technology-63530872,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/6025/production/_127531642_gettyimages-1244400855.jpg,"Posted at 5:30 6 Nov
5:30 6 Nov",By James FitzGerald,BBC News,Controversially Twitter says blue-tick status will be open to those who pay a monthly $7.99.
Why mourners are opting to scatter ashes by drone,https://www.bbc.com/news/uk-england-derbyshire-63414672,,"Posted at 5:04 6 Nov
5:04 6 Nov",,,
Twitter co-founder apologises to staff over sackings,https://www.bbc.com/news/technology-63527893,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/16D98/production/_127529539_62f6c9b8ff3c95d50b975200d7984022350ab9c0.jpg,"Posted at 2:00 6 Nov
2:00 6 Nov",By Alex Binley,BBC News,"The former CEO appeared to agree with the dismissals, saying he had grown the company ""too quickly""."
Twitter UK staff get deadline over cuts consultation,https://www.bbc.com/news/technology-63527336,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/17C66/production/_127528379_4809b26c15548e25feb841c6a9c4cc482c76af83.jpg,"Posted at 21:05 5 Nov
21:05 5 Nov",By Zoe Kleinman,Technology editor,Hundreds affected by Twitter's worldwide job cuts have three days to elect a representative.
Musk says 'no choice' but to slash Twitter staff,https://www.bbc.com/news/business-63524219,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/9D32/production/_127524204_musk.jpg,"Posted at 15:09 5 Nov
15:09 5 Nov",,,"Twitter is firing half its staff, which new owner Elon Musk blamed on a ""massive drop in revenue""."
"Council spends £17,000 on bin-day reminder app",https://www.bbc.com/news/uk-england-norfolk-63516361,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/A369/production/_114933814_bins.jpg,"Posted at 14:50 5 Nov
14:50 5 Nov",,,"The digital service will increase revenue by boosting recycling rates, the local authority says."
Musk blames 'activists' for Twitter earnings drop,https://www.bbc.com/news/business-63521713,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/9D32/production/_127524204_musk.jpg,"Posted at 5:03 5 Nov
5:03 5 Nov",By Tom Espiner,"Business reporter, BBC News","Elon Musk, the new owner of Twitter, makes the accusation as the tech firm makes sweeping job cuts."
Robot with 'brain' sorting plastic waste,https://www.bbc.com/news/uk-england-gloucestershire-63502444,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/15380/production/_127521968_2.jpg,"Posted at 21:57 4 Nov
21:57 4 Nov",By Tracy Miller & Dawn Limbu,BBC News,The robot can sort through waste at a 'human rate' and learns to recognise particular items.
Twitter staff say Musk era sackings have started,https://www.bbc.com/news/technology-63495125,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/140B/production/_127513150_gettyimages-1395062611.jpg,"Posted at 17:28 4 Nov
17:28 4 Nov",By James Clayton in San Francisco and Annabelle Liang in Singapore,BBC News,Employees are saying on social media they have lost their jobs ahead of an announcement by the company.
Footage shows influencers posing outside home,https://www.bbc.com/news/uk-england-london-63499177,,"Posted at 11:38 4 Nov
11:38 4 Nov",,,
Posing influencers damage resident's home,https://www.bbc.com/news/uk-england-london-63499176,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/10B76/production/_127507486_nottinghilllargeindex.jpg,"Posted at 11:34 4 Nov
11:34 4 Nov",,,Peter Lee says their high heels have cracked the doorstep of his bright pink Notting Hill house.
Billions being spent in metaverse land grab,https://www.bbc.com/news/technology-63488059,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/16F10/production/_127486939_ee2c969d-a2a6-4d6c-98f2-88a35e17e904.jpg,"Posted at 5:41 4 Nov
5:41 4 Nov",By Joe Tidy,Cyber reporter ,"Corporations, speculators and individuals have spent nearly $2bn (£1.75bn) on virtual plots."
India gambles on building a leading drone industry,https://www.bbc.com/news/business-62966802,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/9D5E/production/_126868204_gettyimages-1240940868.jpg,"Posted at 5:41 4 Nov
5:41 4 Nov",By Priti Gupta,Mumbai,A ban on imported drones has spurred Indian firms to make drones and train pilots.
Will people sign up for Netflix's cheaper ad service?,https://www.bbc.com/news/business-63476364,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/A1B4/production/_124869314_068_ra02_strangerthings_s4universal-base_na_00_zxx.jpg,"Posted at 0:06 4 Nov
0:06 4 Nov",By Natalie Sherman & Tom Espiner,BBC News,The streaming platform has launched a less expensive streaming option with commercials.
"New 5G mast would be monstrosity, residents say",https://www.bbc.com/news/uk-england-berkshire-63504800,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/B26F/production/_127497654_mediaitem127497650.jpg,"Posted at 23:16 3 Nov
23:16 3 Nov",,,More than 30 objections have been lodged against the 20m mast on protected green space in Twyford.
Twitter to lose 'magic' with £7 blue tick fee,https://www.bbc.com/news/technology-63495124,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/18CD/production/_127494360_musktwittergettyimages-1241784644.jpg,"Posted at 17:45 3 Nov
17:45 3 Nov",By Zoe Kleinman,Technology editor,Twitter's former global communications head tells BBC News he is worried about Elon Musk's plans.
Take a 360° video tour of Shinfield Studios,https://www.bbc.com/news/uk-england-berkshire-63484929,,"Posted at 11:47 3 Nov
11:47 3 Nov",,,
TikTok says staff in China can access UK user data,https://www.bbc.com/news/business-63494951,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/8489/production/_127492933_gettyimages-1230747934.jpg,"Posted at 10:35 3 Nov
10:35 3 Nov",By Annabelle  Liang,Business reporter,"The Chinese-owned platform said the policy is ""based on a demonstrated need to do their job""."
The most-streamed songs of 1952 to 2022 revealed,https://www.bbc.com/news/entertainment-arts-63490691,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/2326/production/_127489980_charts.jpg,"Posted at 9:46 3 Nov
9:46 3 Nov",By Mark Savage,BBC Music Correspondent,"From Gene Kelly to Harry Styles, BBC Radio 1 and 2 reveal the biggest songs of the last 70 years."
Apple store Glasgow workers unionise in UK first,https://www.bbc.com/news/technology-63485697,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/DA59/production/_127479855_gettyimages-470625464.jpg,"Posted at 23:14 2 Nov
23:14 2 Nov",,,"The UK's first Apple retail workers union has been formed, following US action."
More paying for Tinder despite rising living costs,https://www.bbc.com/news/business-63483904,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/B61A/production/_127481664_dating-app.jpg,"Posted at 17:54 2 Nov
17:54 2 Nov",By Noor Nanji,"Business reporter, BBC News",The number of paid subscriptions to the dating app rose sharply in July to September.
"Stop misspelling Haaland, Swedish tourism head begs",https://www.bbc.com/news/technology-63483695,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/09C1/production/_127479420_gettyimages-1244234418.jpg,"Posted at 17:00 2 Nov
17:00 2 Nov",By Tom Gerken,Technology team,The director of Visit Halland says the region's hashtag is now filled with photos of the footballer.
Elon Musk says $8 monthly fee for Twitter blue tick,https://www.bbc.com/news/business-63478854,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/D513/production/_127474545_gettyimages-1211442310.jpg,"Posted at 15:22 2 Nov
15:22 2 Nov",,,Critics say the change could make it harder for people to find reliable sources on the social media site.
Murdered boy's dad slams latest online law delay,https://www.bbc.com/news/uk-england-berkshire-63479190,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/6188/production/_120686942_olly_110.jpg,"Posted at 13:48 2 Nov
13:48 2 Nov",,,Olly Stephens was stabbed to death in Reading after his killers shared harmful social media content.
China locks down area around biggest iPhone plant,https://www.bbc.com/news/business-63481119,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/17DE7/production/_127476779_347f3b34204c94500cab5407d3af62a1590759d8.jpg,"Posted at 11:50 2 Nov
11:50 2 Nov",By Annabelle  Liang,Business reporter,"The move may have an impact on production of the new iPhone 14, which is made at Foxconn's factory."
Iran's protesters helped by power of social media,https://www.bbc.com/news/world-middle-east-63456599,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/DC68/production/_127442465_676cd3da-26e2-404e-aa31-683225f0146f.jpg,"Posted at 5:38 2 Nov
5:38 2 Nov",By Feranak Amidi,BBC World Service,"People are expressing solidarity and spreading awareness through hashtags, a viral song and memes."
The 'Achilles heel' of the US economy?,https://www.bbc.com/news/business-63260648,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/14DD6/production/_119526458_gettyimages-585043481.jpg,"Posted at 5:20 2 Nov
5:20 2 Nov",By Nathalie Jimenez,"Business producer, New York",Small businesses play a critical role in the economy but are more vulnerable to cyber-attacks.
UK cyber war role and Russian banker's defiance - Ukraine round-up,https://www.bbc.com/news/world-europe-63477744,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/D495/production/_122712445_mediaitem122712444.jpg,"Posted at 1:40 2 Nov
1:40 2 Nov",,,"A secret programme to defend Ukraine's cyberspace is revealed, and an oligarch gives up Russian citizenship."
E-sports bar to boost capacity despite noise fears,https://www.bbc.com/news/uk-england-south-yorkshire-63476197,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/75AF/production/_127472103_meltdown.png,"Posted at 23:43 1 Nov
23:43 1 Nov",,,"Meltdown, in Snig Hill, will be able to host up to 250 people after its application was approved."
Is it goodbye - finally - to the fax machine?,https://www.bbc.com/news/technology-63472371,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/F02E/production/_127468416_gettyimages-1163477236.jpg,"Posted at 20:40 1 Nov
20:40 1 Nov",By Shiona McCallum,Technology reporter,Ofcom is consulting on changes to telecoms rules that could see fax machines become obsolete.
Radio duo's new series brings musicians together,https://www.bbc.com/news/uk-england-bristol-63455056,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/9D9A/production/_127464304_whatsappimage2022-10-31at9.30.32am-1.jpg,"Posted at 18:57 1 Nov
18:57 1 Nov",By Dawn Limbu,BBC News,Bristol-based presenters Daboothe & Maxx have created a YouTube series for artist collaboration.
Drones a 'game changer' for rescue teams,https://www.bbc.com/news/articles/czqd74e34w9o,https://ichef.bbci.co.uk/news/320/cpsprodpb/3669/live/05cc4890-59da-11ed-8935-a3069bd18bca.png,"Posted at 17:41 1 Nov
17:41 1 Nov",,,Teams said the machines were becoming increasingly sophisticated and capable to flying in some bad weather.
Drone operators warned about flying near airports,https://www.bbc.com/news/uk-scotland-63471599,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/6186/production/_127466942_gettyimages-1130762431.jpg,"Posted at 17:37 1 Nov
17:37 1 Nov",,,It follows recent reported sightings of drones in the vicinity of the Glasgow Airport flightpath.
Musk dissolves Twitter's board of directors,https://www.bbc.com/news/technology-63458380,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/1506E/production/_127462168_gettyimages-1438052890.jpg,"Posted at 12:16 1 Nov
12:16 1 Nov",,,The multi-billionaire has cemented his control over the company by becoming its chief executive.
UK helping Ukraine combat Russian cyber attacks,https://www.bbc.com/news/uk-63465237,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/2C12/production/_123028211_gettyimages-1237277016.jpg,"Posted at 9:56 1 Nov
9:56 1 Nov",By Gordon Corera,"Security correspondent, BBC News","Details have not been made public until now to protect operational security, officials say."
New EU law could open up messaging and app buying,https://www.bbc.com/news/technology-63458377,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/B1C2/production/_127460554_handsgettyimages-681901135.jpg,"Posted at 9:45 1 Nov
9:45 1 Nov",By Chris Vallance,Technology reporter,The Digital Markets Act designed to curb the market power of big-tech is starting to come into force.
How solar farms in space might beam electricity to Earth,https://www.bbc.com/news/business-62636746,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/1644E/production/_126441219_solarfury.jpg,"Posted at 5:34 1 Nov
5:34 1 Nov",By Emma Woollacott,Technology of Business reporter,The UK government is supporting projects to put solar panels in space and beam energy back to Earth.
Instagram bug tells users accounts are suspended,https://www.bbc.com/news/technology-63462082,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/129D/production/_127456740_gettyimages-1239198888.jpg,"Posted at 20:50 31 Oct
20:50 31 Oct",,,Some have received a message saying their account has been stopped for 30 days.
Johnson WhatsApps requested by Covid inquiry,https://www.bbc.com/news/health-63403844,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/129D8/production/_126284267_johnsonpamedia.jpg,"Posted at 20:38 31 Oct
20:38 31 Oct",By Nick Triggle,Health correspondent,"The messages, alongside other documents, are part of the probe into political decision-making."
UK watchdog warns of emotion-analysis tech risks,https://www.bbc.com/news/technology-63402344,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/F564/production/_127402826_facegettyimages-1357099952.jpg,"Posted at 20:03 31 Oct
20:03 31 Oct",By Chris Vallance,Technology reporter,"Immature biometric technologies are as unscientific as the magic sorting hat in Harry Potter., the ICO warns."
Elon Musk says Twitter blue tick to be revamped,https://www.bbc.com/news/business-63451979,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/8C49/production/_127431953_hi079886996.jpg,"Posted at 17:16 31 Oct
17:16 31 Oct",By Peter Hoskins & Noor Nanji,"Business reporters, BBC News",Reports suggest the firm could charge users almost $20 per month to be verified.
WitchTok: The rise of witchcraft on social media,https://www.bbc.com/news/newsbeat-63403467,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/C634/production/_127404705_ayla.jpg,"Posted at 16:56 31 Oct
16:56 31 Oct",By Claire Jones,BBC News,"Videos of spells, potions and tarot readings are proving to be a surprising hit among TikTok users."
Your next job interview could take place in virtual reality,https://www.bbc.com/news/business-63311886,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/1797C/production/_127463669_vr_index_bodywsaps.jpg,"Posted at 5:34 31 Oct
5:34 31 Oct",By Elizabeth Hotson,Business reporter,Job interviews can now take place in VR worlds with a computer asking the questions.
Liz Truss phone hack claim prompts calls for probe,https://www.bbc.com/news/uk-politics-63442813,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/18210/production/_127423889_capture.jpg,"Posted at 21:40 30 Oct
21:40 30 Oct",By Jonathan Blake,"Political correspondent, BBC News",The Mail on Sunday claims the ex-prime minister's phone was hacked while she was foreign secretary.
Inside US military cyber team’s defence of Ukraine,https://www.bbc.com/news/uk-63328398,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/124AF/production/_127272947_operative.jpg,"Posted at 6:29 30 Oct
6:29 30 Oct",By Gordon Corera,Security correspondent,A little-known US team that hunts global adversaries has helped protect Ukraine from cyber attacks.
Will Donald Trump go back on to Twitter?,https://www.bbc.com/news/technology-63436425,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/7961/production/_127437013_trump_getty_2.jpg,"Posted at 7:18 29 Oct
7:18 29 Oct",By James Clayton,North America technology reporter,"Donald Trump shares a love for Twitter with Elon Musk, its new owner, but times have changed."
No change to Twitter moderation policy yet - Musk,https://www.bbc.com/news/business-63428848,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/6F39/production/_127437482_elon_musk_twitter_2_getty.jpg,"Posted at 6:17 29 Oct
6:17 29 Oct",By Natalie Sherman,"Business reporter, New York",Top managers leave the social media platform as the billionaire seals his takeover of the firm.
